features                                                                             train    test
(0,)                                                                               0.56493 0.57080
(1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.98329 0.80787
(1, 2, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.97862 0.80573
(1, 2, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.98298 0.78373
(1, 3, 4, 5, 6, 7, 8, 9, 10)                                                       0.88147 0.76227
(1, 3, 4, 11, 12, 13, 14, 15, 16)                                                  0.98987 0.76960
(1, 3, 4, 17, 18, 19, 20, 21, 22)                                                  0.98062 0.76747
(1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.98120 0.80707
(1, 3, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.97507 0.80293
(1, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.98267 0.78040
(1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.99053 0.81360
(1, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.98862 0.81280
(1, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.98862 0.78507
(1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)             0.98227 0.80800
(2, 3, 4, 5, 6, 7, 8, 9, 10)                                                       0.89013 0.76427
(2, 3, 4, 11, 12, 13, 14, 15, 16)                                                  0.99053 0.77773
(2, 3, 4, 17, 18, 19, 20, 21, 22)                                                  0.98138 0.76720
(2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.98249 0.80747
(2, 3, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.97787 0.80213
(2, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.98293 0.78253
(2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.99102 0.81520
(2, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.98911 0.81320
(2, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.99049 0.78893
(2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)             0.98293 0.81107
(3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.99044 0.81253
(3, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.98804 0.81040
(3, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.99009 0.78547
(3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)             0.98231 0.81013
(4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)             0.98938 0.81387
(0, 1, 2, 3, 4)                                                                    0.79582 0.65747
(0, 1, 2, 3, 5, 6, 7, 8, 9, 10)                                                    0.89836 0.75333
(0, 1, 2, 3, 11, 12, 13, 14, 15, 16)                                               0.99369 0.77253
(0, 1, 2, 3, 17, 18, 19, 20, 21, 22)                                               0.98507 0.77293
(0, 1, 2, 4, 5, 6, 7, 8, 9, 10)                                                    0.96107 0.77573
(0, 1, 2, 4, 11, 12, 13, 14, 15, 16)                                               0.99876 0.78027
(0, 1, 2, 4, 17, 18, 19, 20, 21, 22)                                               0.99693 0.77773
(0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.99311 0.81200
(0, 1, 2, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.99111 0.81133
(0, 1, 2, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.99178 0.78667
(0, 1, 3, 4, 5, 6, 7, 8, 9, 10)                                                    0.95551 0.77613
(0, 1, 3, 4, 11, 12, 13, 14, 15, 16)                                               0.99884 0.77733
(0, 1, 3, 4, 17, 18, 19, 20, 21, 22)                                               0.99653 0.78067
(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.99187 0.81187
(0, 1, 3, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.98942 0.80960
(0, 1, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.99111 0.78600
(0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.99867 0.81640
(0, 1, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.99827 0.81853
(0, 1, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.99800 0.79093
(0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)          0.99004 0.81533
(0, 2, 3, 4, 5, 6, 7, 8, 9, 10)                                                    0.96027 0.77573
(0, 2, 3, 4, 11, 12, 13, 14, 15, 16)                                               0.99858 0.77893
(0, 2, 3, 4, 17, 18, 19, 20, 21, 22)                                               0.99640 0.77960
(0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.99271 0.81133
(0, 2, 3, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.99076 0.81133
(0, 2, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.99107 0.78507
(0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.99862 0.81747
(0, 2, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.99836 0.81480
(0, 2, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.99804 0.79027
(0, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)          0.99116 0.81480
(0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.99849 0.81680
(0, 3, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.99804 0.81720
(0, 3, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.99760 0.78680
(0, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)          0.99009 0.81533
(0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)          0.99796 0.81613
(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)                                                    0.90489 0.76600
(1, 2, 3, 4, 11, 12, 13, 14, 15, 16)                                               0.99347 0.77747
(1, 2, 3, 4, 17, 18, 19, 20, 21, 22)                                               0.98658 0.77053
(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.98364 0.80920
(1, 2, 3, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.97911 0.80520
(1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.98356 0.78253
(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.99387 0.81400
(1, 2, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.99244 0.81240
(1, 2, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.99293 0.78547
(1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)          0.98511 0.81213
(1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                               0.99267 0.81533
(1, 3, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                               0.99102 0.81360
(1, 3, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                          0.99120 0.78693
(1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)          0.98316 0.81213
(1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)          0.99209 0.81347
